"model_name","AUC","TSS","Kappa","Sens","Spec","PCC","D2","thresh","opt_bio10","opt_bio14","opt_occ_prob","bio10_in_range","bio14_in_range"
"glm_20x10",0.985696259277092,0.896332797658527,0.616541775948863,0.977058029689609,0.919274767968919,0.923553512541221,0.67159899840559,0.11,16.8689656750909,19.7209302325581,0.773218733904445,TRUE,FALSE
"gam_20x10",0.980645507074898,0.873833727588825,0.537694616637168,0.983805668016194,0.890028059572631,0.896972119516339,0.334265099248259,0.02,14.7287358251111,10,0.374586037785251,TRUE,FALSE
"glm_20x5",0.978645974880085,0.862960606783525,0.69405819792091,0.912280701754386,0.950679905029139,0.947836514439892,0.630832821178475,0.2,17.4040231375859,33.8604651162791,0.767861455185498,TRUE,FALSE
"gam_20x5",0.980625117060529,0.869072950519552,0.598813932060929,0.951417004048583,0.917655946470969,0.920155890876386,0.443637057973962,0.05,15.2637932876061,25.906976744186,0.329782153193174,TRUE,FALSE
"glm_20x3",0.979561632168219,0.861998489391221,0.615802407119394,0.936572199730094,0.925426289661127,0.926251623863296,0.63130663668692,0.12,16.333908212596,26.7906976744186,0.7816461715949,TRUE,FALSE
"gam_20x3",0.975647914553023,0.863039545267725,0.521882191657885,0.978407557354926,0.8846319879128,0.89157589687219,0.501485755973332,0.06,14.7287358251111,10,0.673533328956484,TRUE,FALSE
"glm_20x1",0.991294774651018,0.909814820802359,0.732473344315359,0.955465587044534,0.954349233757824,0.95443189767163,0.745329209707371,0.13,18.4741380625758,124,0.999670304010381,TRUE,FALSE
"gam_20x1",0.992236210743032,0.920124885925152,0.741144188173966,0.964912280701754,0.955212605223397,0.955930848406116,0.735057255876639,0.18,18.4741380625758,124,0.980921690481767,TRUE,FALSE
"glm_50x10",0.987237567451553,0.886339811957971,0.671911005997822,0.945429740791269,0.940910071166703,0.941241131208154,0.658643558685677,0.26,19.4655173400353,107,0.9911216494543,TRUE,TRUE
"gam_50x10",0.990525522658514,0.916639427630122,0.684128803962811,0.976807639836289,0.939831787793832,0.942540221844709,0.360856205999059,0.04,19.4655173400353,107,0.554386857565655,TRUE,TRUE
"glm_50x5",0.991101587827431,0.911590325282641,0.719849279796072,0.96043656207367,0.951153763208971,0.951833716398521,0.700658076938306,0.23,18.2275863187066,107,0.898483062307527,TRUE,TRUE
"gam_50x5",0.991297385258439,0.914539202293905,0.737171358295102,0.959072305593452,0.955466896700453,0.955730988308184,0.502947775503366,0.07,18.2275863187066,107,0.512207013938693,TRUE,TRUE
"glm_50x3",0.988397641486813,0.89630679853989,0.641003124664991,0.967257844474761,0.929048954065128,0.931847706605376,0.67314217176755,0.2,18.846551829371,107,0.955789902376022,TRUE,TRUE
"gam_50x3",0.987856587428775,0.913873402765172,0.678248320842288,0.975443383356071,0.938430019409101,0.941141201159189,0.605117594769553,0.11,20.0844828506996,107,0.719633037015526,TRUE,TRUE
"glm_50x1",0.989655393579315,0.899762012709327,0.66529379021313,0.963165075034106,0.936596937675221,0.93854301988608,0.708113868107732,0.15,19.4655173400353,107,0.991050313000343,TRUE,TRUE
"gam_50x1",0.990827971582746,0.919232015101263,0.707629606142278,0.972714870395634,0.946517144705629,0.948436094733686,0.694527902858608,0.23,19.4655173400353,68.7441860465116,0.958993587553996,TRUE,TRUE
"glm_100x10",0.992702122571367,0.9191546125271,0.727270579649361,0.967611336032389,0.951543276494712,0.952733086839213,0.73323937730806,0.22,17.6086208080423,58.1627906976744,0.855869475040425,TRUE,TRUE
"gam_100x10",0.990616224101405,0.917911986794262,0.736782761300604,0.963562753036437,0.954349233757824,0.955031477965424,0.408901714225998,0.03,10.8000001907349,50.8372093023256,0.511803615812866,FALSE,TRUE
"glm_100x5",0.99264765210441,0.913432737566242,0.723098399867365,0.96221322537112,0.951219512195122,0.952033576496452,0.717007576739355,0.25,18.2275863187066,67.9302325581395,0.849493810896738,TRUE,TRUE
"gam_100x5",0.993026760728716,0.922498137954759,0.761719642550481,0.96221322537112,0.960284912583639,0.960427700609573,0.562153414151772,0.08,18.2275863187066,48.3953488372093,0.415686601350884,TRUE,TRUE
"glm_100x3",0.989680468084821,0.905879256743196,0.684489161475155,0.964912280701754,0.940966976041442,0.94274008194264,0.714549504062282,0.18,17.6086208080423,47.5813953488372,0.822212079315375,TRUE,TRUE
"gam_100x3",0.988942349564659,0.911167406969831,0.704682109924233,0.964912280701754,0.946255126268077,0.947636654341961,0.613161228723633,0.06,19.4655173400353,44.3255813953488,0.481636760831307,TRUE,TRUE
"glm_100x1",0.991696603577049,0.911921837501489,0.716969417780506,0.96221322537112,0.949708612130369,0.950634555810932,0.690754515465877,0.26,18.2275863187066,67.1162790697674,0.794256075706706,TRUE,TRUE
"gam_100x1",0.992658429683433,0.921529903558145,0.727363584309473,0.970310391363023,0.951219512195122,0.952633156790247,0.687865697848622,0.27,18.846551829371,107,0.799063833974631,TRUE,TRUE
"glm_500x10",0.992674649550735,0.916106078755355,0.759652771966342,0.957253886010363,0.958852192744992,0.958728889777156,0.75548537724157,0.26,18.7948276914399,112,0.973423384607174,TRUE,TRUE
"gam_500x10",0.993593518126299,0.93271668663089,0.753403525834269,0.977979274611399,0.954737412019491,0.95653042869991,0.547239021517782,0.04,18.7948276914399,112,0.824611678328557,TRUE,TRUE
"glm_500x5",0.99435318721579,0.933033402436664,0.745439608515689,0.980569948186529,0.952463454250135,0.954631757769561,0.752815965507639,0.25,18.7948276914399,97.3720930232558,0.970761970959413,TRUE,TRUE
"gam_500x5",0.995106684695249,0.941383450547169,0.795889868063954,0.976683937823834,0.964699512723335,0.965624063155791,0.586915051178614,0.07,18.7948276914399,80.1627906976744,0.670793262131887,TRUE,TRUE
"glm_500x3",0.994694028406238,0.937497440184475,0.793799426427051,0.97279792746114,0.964699512723335,0.965324273008894,0.75941745188877,0.32,18.1413794221549,78.4418604651163,0.942348513149375,TRUE,TRUE
